12468925,7399
16716005,2789
12957105,0356
11131598,9019
18796365,5935
14539585,8622
14152592,5262
18094117,4458
17418972,7565
18245283,3569
16360899,6354
14442978,1074
14205266,9868
13554682,5506
18193166,1415
14539468,6646
16913939,3050
18419512,9005
18857787,0196
12383233,2822
15251240,0274
18426005,0287
17810727,3613
16128988,1497
15344124,1929
11699098,4260
13637799,2815
18003445,2704
12594011,3891
13447817,3006
13116672,0183
13858150,7807
14396856,3053
15315386,7979
13786291,2892
12400016,4399
14122155,1008
12187705,6123
12996775,4456
12334977,3863
15341317,2341
13411371,0352
17990187,1024
15601290,2839
15171261,3379
18393575,1000
15826599,8985
14493585,5116
15721267,2396
13594039,3057
14522837,9423
12916499,7699
15452459,6244
17255109,2683
15773235,9771
14549935,8294
13745432,7254
14559948,1314
14171044,6184
11420420,1544
18373416,6773
18503316,3872
15668077,7116
13593212,0480
13495831,5844
14294121,8667
11868310,0560
14198497,5296
12686899,1708
17011161,5531
17798639,0429
18635759,5825
13569175,8951
11444002,2690
11345131,3269
13304838,0788
11325844,8771
13553749,4143
11605639,9883
15572497,7641
12621823,7521
16102585,7896
17829138,0008
13251716,7863
17866032,9016
16845317,8883
16722587,2290
18580513,2787
16427371,4107
16924175,9045
13049335,3948
16618942,4454
15862665,8981
13978208,2843
18328511,3575
18184879,7268
12262163,7788
17964642,7980
14161545,8776
11362865,5944
17416649,1269
12948408,4680
18517142,7519
16240674,2091
17932104,5931
13697362,9637
14635260,4732
18430936,6779
14293681,5872
12954712,6047
16144315,0619
12305021,1491
14271607,6487
16214530,3995
16448039,1287
16355862,3196
13706509,4203
16341735,1957
17419236,5494
14948513,9423
17039982,2670
16705296,6946
12323214,3044
18293818,0218
18819710,6531
17714836,3232
14425900,7104
13312008,2763
12442431,9311
12611243,8390
12448792,5653
18542806,0687
16921737,8886
15120243,7347
15207156,3362
12203949,2631
15729375,7555
14646440,5607
13988967,8500
12600488,1260
13617761,5349
18298110,6743
14342591,1591
13457982,5525
13645117,1050
15778844,5354
14485987,0836
12286685,1572
16801023,3211
12554089,1375
18810218,5790
14320616,7738
13753169,5361
13902133,2078
12709794,6909
13121584,5234
13822525,4876
17696444,6202
11755335,7529
18321025,5546
15047833,3491
15741278,1044
15039407,1509
11350390,7543
12122224,8929
14506962,7972
15446319,5009
12230739,7962
16656601,5337
14099995,0829
17579739,7955
17317143,5367
15232515,8822
16300876,6048
18610848,0801
16669995,3213
11011730,8788
18953982,7937
13170761,7416
14674157,9189
18652722,1313
17348888,3089
13196023,4975
17483982,9073
