D00301,전무하,D003,010-3037-4313,53,공학R관 305호
D00302,박수호,D003,010-1495-9748,64,공학R관 302호
D00303,오한이,D003,010-7828-3703,56,공학R관 310호
D00304,이연빛,D003,010-8449-5706,36,공학R관 309호
D00305,박나영,D003,010-7596-6430,35,공학R관 311호
D00306,문용이,D003,010-8691-0746,49,공학R관 405호
D00601,문무환,D006,010-5776-0480,50,을지관 402호
D00602,곽금한,D006,010-6080-4968,55,을지관 301호
D00603,전연이,D006,010-4794-7947,48,을지관 505호
D00604,마세호,D006,010-3058-2380,54,을지관 314호
D00605,전동화,D006,010-6470-9977,59,창의관 202호
D00606,우필재,D006,010-0692-1516,32,창의관 203호
D00607,한은가,D006,010-5579-9776,42,창의관 204호
D00608,이우태,D006,010-1421-7777,63,창의관 502호
D00609,송호우,D006,010-0310-9486,55,박애관 506호
D00610,남궁우이,D006,010-0062-1007,54,박애관 610호
D00611,송태동,D006,010-5826-7165,64,박애관 401호
D00612,서립동,D006,010-8808-8178,42,박애관 402호
D00613,성마우,D006,010-6229-9011,51,범석관 302호
D00614,오석수,D006,010-3120-7149,54,범석관 210호
D00615,송재이,D006,010-1038-4565,44,범석관 103호
D00616,곽령진,D006,010-1308-4430,62,뉴밀레니엄관 107호
D00617,문연령,D006,010-2277-8267,38,뉴밀레니엄관 204호
D00618,남궁필화,D006,010-4664-1173,47,뉴밀레니엄관 404호
D00619,전동우,D006,010-8590-2744,46,뉴밀레니엄관 605호
D00501,전하가,D005,010-8140-0581,59,융합관 201호
D00502,김영우,D005,010-8940-9810,39,융합관 202호
D00503,이성화,D005,010-3323-8266,35,융합관 203호
D00504,김진영,D005,010-7283-6880,47,융합관 204호
D00505,문진립,D005,010-3200-5107,35,융합관 205호
D00506,곽호마,D005,010-0400-0759,64,융합관 206호
D00101,장다령,D001,010-5959-5767,44,박애관 607호
D00102,마이은,D001,010-6256-9719,54,박애관 604호
D00103,장빛동,D001,010-5761-3597,46,박애관 609호
D00104,서우천,D001,010-3795-8810,61,박애관 617호
D00105,최한연,D001,010-9297-3624,47,박애관 623호
D00106,서용연,D001,010-5684-6459,56,박애관 621호
D00401,전수개,D004,010-4631-9763,44,정보관 204호
D00402,오연한,D004,010-3768-0375,38,정보관 205호
D00403,민진우,D004,010-8385-9419,50,정보관 206호
D00404,성하은,D004,010-0462-5513,43,정보관 207호
D00405,전재하,D004,010-4126-0330,48,정보관 208호
D00406,민태은,D004,010-5932-1325,53,정보관 209호
D00407,송무동,D004,010-8708-0629,38,정보관 210호
D00201,성가금,D002,010-7624-8855,50,범석관 201호
D00202,한가령,D002,010-9392-4086,63,범석관 202호
D00203,박재은,D002,010-0520-2719,63,범석관 203호
D00204,한한환,D002,010-1116-3796,44,범석관 204호
D00205,오솜한,D002,010-4940-3975,47,범석관 205호
D00206,김세진,D002,010-3504-6862,45,범석관 206호
D6504F,D004,김태호,29,010-7787-8963,범석관 9층
E1234,김상현,D123,010-3719-5510,39,우리집
